iter	Passed	Remaining
911	15807	1525
912	15826	1508
913	15847	1491
914	15864	1473
915	15877	1456
916	15892	1438
917	15906	1420
918	15921	1403
919	15935	1385
920	15949	1368
921	15962	1350
922	15975	1332
923	15989	1315
924	16003	1297
925	16018	1280
926	16033	1262
927	16048	1245
928	16065	1227
929	16079	1210
930	16093	1192
931	16107	1175
932	16121	1157
933	16141	1140
934	16158	1123
935	16176	1106
936	16196	1089
937	16214	1071
938	16232	1054
939	16251	1037
940	16276	1020
941	16295	1003
942	16312	986
943	16330	968
944	16349	951
945	16368	934
946	16392	917
947	16409	900
948	16424	882
949	16445	865
950	16465	848
951	16483	831
952	16500	813
953	16518	796
954	16537	779
955	16553	761
956	16568	744
957	16582	726
958	16595	709
959	16612	692
960	16625	674
961	16639	657
962	16655	639
963	16669	622
964	16681	605
965	16693	587
966	16707	570
967	16721	552
968	16734	535
969	16748	517
970	16761	500
971	16774	483
972	16789	465
973	16802	448
974	16815	431
975	16828	413
976	16843	396
977	16865	379
978	16883	362
979	16900	344
980	16917	327
981	16934	310
982	16953	293
983	16971	275
984	16997	258
985	17015	241
986	17036	224
987	17055	207
988	17074	189
989	17096	172
990	17117	155
991	17134	138
992	17153	120
993	17172	103
994	17191	86
995	17213	69
996	17227	51
997	17245	34
998	17264	17
999	17284	0
